,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
149,23,60000,RENT,3,PERSONAL,C,25000,12.73,1,0.42,N,3
150,23,60000,RENT,7,PERSONAL,B,25000,10.25,1,0.42,N,4
151,21,60000,RENT,6,EDUCATION,B,25000,10.99,1,0.42,N,4
152,25,61959,RENT,9,MEDICAL,C,25000,12.73,1,0.4,N,2
153,22,56400,RENT,2,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3
154,21,200000,MORTGAGE,2,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2
155,24,200000,MORTGAGE,3,VENTURE,A,24000,7.49,0,0.12,N,4
156,26,200000,MORTGAGE,4,EDUCATION,C,15000,14.79,0,0.07,N,3
157,25,200000,MORTGAGE,2,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2
158,24,200000,RENT,8,EDUCATION,A,10000,8.49,0,0.05,N,4
159,24,66000,RENT,3,EDUCATION,B,25000,9.91,1,0.38,N,2
160,22,66000,RENT,6,EDUCATION,C,25000,13.06,1,0.38,Y,3
161,22,200000,MORTGAGE,6,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4
162,25,200000,RENT,5,EDUCATION,D,18000,16.32,0,0.09,N,3
163,25,200000,MORTGAGE,2,VENTURE,B,12000,10.38,0,0.06,N,2
164,25,200000,MORTGAGE,9,PERSONAL,C,23050,14.35,0,0.12,N,3
165,26,66996,RENT,10,PERSONAL,D,25000,15.21,1,0.37,Y,2
166,23,67000,RENT,3,EDUCATION,A,25000,7.9,1,0.37,N,4
167,24,67000,RENT,2,VENTURE,B,25000,10.99,1,0.37,N,3
168,24,68000,RENT,5,PERSONAL,D,25000,14.09,1,0.37,Y,3
169,25,69000,RENT,9,PERSONAL,D,25000,17.49,1,0.36,N,2
170,25,200000,MORTGAGE,0,EDUCATION,B,12000,11.48,0,0.06,N,3
171,26,188000,MORTGAGE,10,VENTURE,E,20000,17.74,1,0.11,N,2
172,26,200000,MORTGAGE,4,PERSONAL,C,3000,13.92,0,0.01,N,3
173,25,69996,RENT,9,EDUCATION,D,25000,15.21,1,0.36,N,3
174,22,14400,OWN,2,MEDICAL,B,4000,10.99,1,0.28,N,3
175,24,70000,RENT,3,EDUCATION,B,25000,11.86,1,0.36,N,4
176,24,14400,OWN,5,PERSONAL,A,6000,7.49,1,0.42,N,3
177,24,56100,RENT,7,MEDICAL,D,25000,16.49,1,0.38,N,4
178,25,66000,RENT,9,VENTURE,D,25000,15.33,1,0.38,Y,2
179,26,66000,RENT,3,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4
180,25,14400,OWN,7,EDUCATION,A,5375,5.79,1,0.37,N,2
181,25,72612,RENT,9,MEDICAL,C,25000,13.11,1,0.34,N,2
182,23,74000,RENT,3,MEDICAL,B,25000,10.36,1,0.34,N,3
183,25,75000,RENT,9,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2
184,25,191000,MORTGAGE,1,MEDICAL,B,10000,12.53,0,0.05,N,4
185,24,75000,RENT,4,EDUCATION,B,25000,10.25,1,0.33,N,4
186,22,71000,RENT,1,EDUCATION,D,25000,15.95,1,0.35,Y,4
187,26,190000,MORTGAGE,3,VENTURE,B,20000,12.18,0,0.11,N,4
188,23,189996,OWN,0,PERSONAL,B,24000,11.83,0,0.13,N,3
189,23,78000,RENT,1,VENTURE,B,25000,10.62,1,0.32,N,3
190,23,78504,RENT,7,VENTURE,B,25000,10.74,1,0.32,N,3
191,25,186000,OWN,9,VENTURE,B,10000,10.25,0,0.05,N,4
192,24,185000,MORTGAGE,4,EDUCATION,B,35000,12.42,0,0.19,N,2
193,25,185000,RENT,6,VENTURE,C,15000,15.27,0,0.08,N,2
194,24,62050,RENT,8,MEDICAL,D,25000,15.33,1,0.34,Y,2
195,23,79416,RENT,7,VENTURE,D,25000,15.21,1,0.31,Y,2
196,21,14400,OWN,4,VENTURE,C,6250,14.72,1,0.43,N,2
197,24,79631,RENT,8,PERSONAL,D,25000,15.7,1,0.31,Y,2
198,24,79632,RENT,0,EDUCATION,C,25000,13.35,1,0.31,N,4
199,24,80000,RENT,6,EDUCATION,A,25000,6.62,1,0.31,N,2
200,26,80000,RENT,5,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4
201,22,185000,RENT,4,MEDICAL,B,25000,11.36,0,0.14,N,2
202,26,185000,OWN,10,PERSONAL,A,5000,7.68,0,0.03,N,2
203,24,184992,RENT,7,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4
204,23,184000,OWN,5,EDUCATION,B,2500,11.83,0,0.01,N,2
205,24,172000,MORTGAGE,6,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4
206,24,183000,MORTGAGE,2,MEDICAL,B,20000,11.49,0,0.11,N,3
207,25,182952,MORTGAGE,9,PERSONAL,A,15000,6.03,0,0.08,N,3
208,23,74004,RENT,7,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4
209,25,81000,RENT,5,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3
210,23,81600,RENT,1,MEDICAL,B,25000,11.36,1,0.31,N,3
211,24,82000,RENT,8,VENTURE,B,25000,10.25,0,0.3,N,2
212,24,83000,RENT,5,EDUCATION,B,25000,11.12,0,0.3,N,3
213,24,83000,RENT,5,PERSONAL,D,25000,12.92,0,0.3,Y,3
214,24,180000,RENT,8,EDUCATION,E,18000,18.64,0,0.1,Y,4
215,23,180000,MORTGAGE,8,PERSONAL,A,28000,7.51,0,0.16,N,3
216,23,14400,OWN,2,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2
217,22,14400,OWN,0,PERSONAL,B,2100,11.14,0,0.15,N,4
218,22,84500,RENT,6,PERSONAL,F,25000,18.3,0,0.3,N,4
219,24,85000,RENT,5,MEDICAL,B,25000,10.62,0,0.29,N,4
220,24,180000,MORTGAGE,7,VENTURE,B,14000,11.99,0,0.08,N,2
221,26,180000,MORTGAGE,2,VENTURE,B,12000,9.63,0,0.07,N,4
222,25,142800,MORTGAGE,9,MEDICAL,F,10000,18.25,1,0.06,N,4
223,24,87000,RENT,8,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,N,3
224,24,75000,RENT,0,VENTURE,E,25000,14.7,1,0.33,Y,3
225,23,76000,RENT,7,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,N,4
226,23,66215,RENT,1,MEDICAL,D,25000,15.37,1,0.32,Y,2
227,25,90000,RENT,9,MEDICAL,B,25000,10.99,0,0.28,N,4
228,21,15000,OWN,0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2
229,26,180000,OWN,2,PERSONAL,B,25000,10.99,0,0.14,N,4
230,24,180000,OWN,8,EDUCATION,B,21000,11.48,0,0.12,N,3
231,25,180000,OWN,9,MEDICAL,C,20000,14.26,0,0.11,Y,4
232,26,180000,OWN,0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4
233,25,180000,MORTGAGE,3,VENTURE,B,9950,11.26,0,0.06,N,2
234,23,78000,RENT,2,VENTURE,D,25000,16.32,1,0.32,Y,3
235,25,66300,RENT,3,MEDICAL,E,25000,17.93,1,0.32,Y,4
236,23,90000,RENT,0,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,N,3
237,24,79000,RENT,9,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,Y,4
238,24,91800,RENT,4,PERSONAL,C,25000,13.43,0,0.27,Y,3
239,25,92000,RENT,6,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,N,3
240,24,92000,RENT,1,VENTURE,C,25000,12.73,0,0.27,Y,4
241,23,93600,RENT,3,VENTURE,D,25000,15.21,0,0.27,N,4
242,23,15000,MORTGAGE,1,MEDICAL,C,1750,12.68,0,0.12,Y,3
243,23,70550,RENT,3,MEDICAL,F,25000,19.04,1,0.3,Y,4
244,25,83800,RENT,2,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,Y,3
245,26,175000,MORTGAGE,3,VENTURE,A,2600,8.9,0,0.01,N,4
246,25,175000,MORTGAGE,10,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,N,2
247,23,175000,MORTGAGE,8,PERSONAL,B,21000,11.99,0,0.12,N,3
248,23,15000,OWN,4,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,N,4
249,23,15000,OWN,4,VENTURE,B,4600,10.99,1,0.31,N,2
250,22,88000,RENT,6,DEBTCONSOLIDATION,D,25000,15.58,1,0.28,Y,2
251,25,74800,RENT,2,MEDICAL,B,25000,10.99,1,0.28,N,2
252,25,88000,RENT,0,VENTURE,D,25000,14.96,1,0.28,N,4
253,25,15000,OWN,2,HOMEIMPROVEMENT,D,1750,15.31,0,0.12,Y,4
254,26,88000,RENT,2,VENTURE,D,25000,15.65,1,0.28,N,3
255,25,100000,RENT,1,VENTURE,B,25000,9.33,0,0.25,N,4
256,23,15000,MORTGAGE,0,PERSONAL,C,3600,13.47,1,0.24,N,4
257,24,102400,RENT,8,PERSONAL,B,25000,10.36,0,0.24,N,3
258,24,92000,RENT,1,HOMEIMPROVEMENT,E,25000,16.77,1,0.27,Y,4
259,23,93000,RENT,0,DEBTCONSOLIDATION,D,25000,14.59,1,0.27,Y,2
260,22,175000,RENT,6,VENTURE,C,3500,11.91,0,0.02,Y,2
261,23,175000,MORTGAGE,3,EDUCATION,A,7200,8.38,0,0.04,N,3
262,25,174708,RENT,9,VENTURE,B,9000,10.59,0,0.05,N,3
263,25,174000,MORTGAGE,2,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,N,3
264,26,174000,RENT,8,DEBTCONSOLIDATION,B,12000,12.53,0,0.07,N,4
265,25,162000,MORTGAGE,5,DEBTCONSOLIDATION,E,25000,16.0,1,0.15,Y,3
266,26,173467,MORTGAGE,10,VENTURE,B,10000,11.71,0,0.06,N,4
267,21,15000,OWN,0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3
268,25,96000,RENT,2,HOMEIMPROVEMENT,E,25000,15.68,1,0.26,Y,4
269,21,15120,MORTGAGE,0,EDUCATION,B,1500,10.59,0,0.1,N,2
270,24,97908,RENT,8,HOMEIMPROVEMENT,D,25000,12.61,1,0.26,Y,2
271,23,15204,MORTGAGE,7,PERSONAL,A,2800,8.49,1,0.18,N,3
272,25,159600,RENT,0,PERSONAL,D,30000,17.27,1,0.19,Y,4
273,24,171500,RENT,6,DEBTCONSOLIDATION,A,18000,8.9,0,0.1,N,4
274,25,170004,MORTGAGE,3,MEDICAL,B,10000,11.11,0,0.06,N,4
275,24,158004,RENT,0,HOMEIMPROVEMENT,D,25000,14.59,1,0.16,Y,2
276,26,170000,RENT,0,VENTURE,B,13000,12.42,0,0.08,N,3
277,24,110000,RENT,7,HOMEIMPROVEMENT,D,25000,15.7,0,0.23,Y,2
278,22,15360,OWN,7,HOMEIMPROVEMENT,B,2500,12.53,1,0.16,N,3
279,25,134300,RENT,3,MEDICAL,D,5000,16.49,1,0.03,N,2
280,25,170000,MORTGAGE,2,EDUCATION,A,20000,7.49,0,0.12,N,2
281,22,100580,RENT,6,DEBTCONSOLIDATION,D,25000,14.96,1,0.25,Y,2
282,25,113000,RENT,7,MEDICAL,C,25000,12.73,0,0.22,Y,4
283,24,120000,RENT,8,EDUCATION,B,25000,10.65,0,0.21,N,4
284,25,120000,RENT,6,MEDICAL,B,25000,10.74,0,0.21,N,2
285,23,120000,RENT,7,EDUCATION,B,25000,9.99,0,0.21,N,2
286,24,91800,RENT,5,MEDICAL,D,25000,15.33,1,0.23,Y,2
287,21,15600,OWN,5,VENTURE,A,1000,7.29,0,0.06,N,4
288,26,108000,RENT,2,PERSONAL,D,25000,15.05,1,0.23,N,3
289,26,129996,RENT,6,PERSONAL,B,25000,10.75,0,0.19,N,3
290,23,130000,RENT,4,EDUCATION,D,25000,16.02,0,0.19,Y,2
291,23,130000,RENT,7,VENTURE,B,25000,11.49,0,0.19,N,4
292,25,170000,OWN,4,EDUCATION,B,20000,12.53,0,0.12,N,4
293,26,170000,MORTGAGE,0,VENTURE,C,12000,13.57,0,0.07,Y,2
294,22,169000,RENT,1,PERSONAL,B,14000,11.14,0,0.08,N,3
295,26,168750,RENT,10,MEDICAL,C,24250,12.87,0,0.14,Y,3
296,23,168600,RENT,3,EDUCATION,B,20000,11.58,0,0.12,N,3
297,24,168288,RENT,5,HOMEIMPROVEMENT,B,1800,11.12,0,0.01,N,3
298,25,168000,MORTGAGE,2,PERSONAL,B,35000,10.65,0,0.21,N,2
299,24,133300,RENT,6,DEBTCONSOLIDATION,B,25000,10.37,0,0.19,N,2
300,24,15600,OWN,5,HOMEIMPROVEMENT,A,3300,6.39,1,0.21,N,4
301,24,134000,RENT,8,PERSONAL,D,25000,16.07,0,0.19,Y,3
302,25,134000,RENT,7,MEDICAL,B,25000,10.62,0,0.19,N,2
303,25,15600,OWN,0,VENTURE,F,3200,18.09,1,0.21,N,2
304,25,135000,RENT,5,EDUCATION,B,25000,11.36,0,0.19,N,4
305,26,135660,RENT,10,DEBTCONSOLIDATION,B,25000,12.53,0,0.18,N,4
306,25,145000,RENT,0,EDUCATION,B,25000,9.99,0,0.17,N,4
307,23,150000,RENT,4,EDUCATION,B,25000,10.36,0,0.17,N,3
308,23,165000,MORTGAGE,3,EDUCATION,A,9600,5.99,0,0.06,N,3
309,22,153000,MORTGAGE,5,DEBTCONSOLIDATION,D,24000,15.62,1,0.16,Y,2
310,24,165000,MORTGAGE,5,PERSONAL,B,20000,10.37,0,0.12,N,4
311,25,165000,MORTGAGE,0,HOMEIMPROVEMENT,F,25000,19.74,0,0.15,N,4
312,21,165000,MORTGAGE,5,EDUCATION,A,20000,6.91,0,0.12,N,4
313,23,16000,OWN,7,MEDICAL,A,6000,7.9,1,0.38,N,2
314,23,16000,MORTGAGE,3,DEBTCONSOLIDATION,C,2275,13.06,0,0.14,Y,4
315,23,16000,OWN,7,PERSONAL,A,2000,6.39,0,0.13,N,3
316,23,148000,RENT,1,DEBTCONSOLIDATION,E,25000,14.93,1,0.17,N,3
317,23,16000,MORTGAGE,1,MEDICAL,C,5600,12.84,1,0.35,N,4
318,24,16020,OWN,3,VENTURE,E,3625,17.14,1,0.23,Y,2
319,22,16094,MORTGAGE,2,VENTURE,A,5500,7.14,1,0.34,N,3
320,25,175000,RENT,2,PERSONAL,A,25000,8.9,0,0.14,N,2
321,22,16200,OWN,6,PERSONAL,B,2000,12.42,0,0.12,N,3
322,24,185000,RENT,7,HOMEIMPROVEMENT,C,25000,12.68,0,0.14,Y,2
323,25,162000,RENT,9,PERSONAL,C,25000,11.03,0,0.15,N,2
324,26,161000,RENT,10,VENTURE,A,30000,7.9,0,0.19,N,4
325,22,160000,MORTGAGE,0,MEDICAL,B,35000,10.65,0,0.22,N,4
326,25,225000,RENT,5,VENTURE,B,25000,11.86,0,0.11,N,4
327,25,16400,OWN,1,PERSONAL,A,5000,8.94,1,0.3,N,4
328,23,16500,OWN,6,VENTURE,B,4375,9.63,1,0.27,N,4
329,25,49500,RENT,6,PERSONAL,C,24750,14.22,1,0.5,N,3
